"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042594","response to starvation","20/545","206/18842",0.0970873786407767,3.35655117128351,5.86940957034231,2.4188039824395e-06,0.000355564185418606,0.000355564185418606,"NUPR2/FOXO3/HSPA8/PRKAA2/LAMP2/GABARAPL1/MAP1LC3A/SEC22B/PCK1/DDIT3/UPP1/LRRK2/ATF3/CDKN1A/FOS/PDK4/KLF10/ZFP36/RNF152/GABARAP",20
"GO:0001657","ureteric bud development","11/545","67/18842",0.164179104477612,5.67607832397645,6.61743200174434,3.1782006042132e-06,0.000455800476896918,0.000455800476896918,"ARG2/HES1/EPCAM/PAX2/VEGFA/NPNT/CALB1/PKD2/TACSTD2/PAX8/HOXB7",11
"GO:0031960","response to corticosteroid","16/545","142/18842",0.112676056338028,3.89549037343326,5.97730994560391,3.63096762775056e-06,0.000493633091034009,0.000493633091034009,"ASS1/KLF9/FOXO3/CCND1/DUSP1/IGFBP2/CYBA/ZFP36L2/ERRFI1/PCK1/GLB1/FAM107A/FOS/SCNN1A/ZFP36/FOSB",16
"GO:0072163","mesonephric epithelium development","11/545","68/18842",0.161764705882353,5.59260658391797,6.54780256252981,3.69385306215925e-06,0.000493633091034009,0.000493633091034009,"ARG2/HES1/EPCAM/PAX2/VEGFA/NPNT/CALB1/PKD2/TACSTD2/PAX8/HOXB7",11
"GO:0072164","mesonephric tubule development","11/545","68/18842",0.161764705882353,5.59260658391797,6.54780256252981,3.69385306215925e-06,0.000493633091034009,0.000493633091034009,"ARG2/HES1/EPCAM/PAX2/VEGFA/NPNT/CALB1/PKD2/TACSTD2/PAX8/HOXB7",11
"GO:1901655","cellular response to ketone","13/545","96/18842",0.135416666666667,4.68168960244648,6.24149695647101,3.86703599477041e-06,0.000505292703316667,0.000505292703316667,"ASS1/KLF9/FOXO3/PIM3/BTG2/SPP1/GAS6/CYBA/ERRFI1/PCK1/LRRK2/FOS/SCNN1A",13
"GO:0001656","metanephros development","11/545","69/18842",0.159420289855072,5.51155431458583,6.47954003211185,4.28121531354841e-06,0.000532803708991817,0.000532803708991817,"CTSH/NF1/POU3F3/HES1/EGR1/PAX2/CALB1/PKD2/ID3/STAT1/PAX8",11
"GO:0034101","erythrocyte homeostasis","14/545","112/18842",0.125,4.32155963302752,6.08474606354138,4.33346284429676e-06,0.000532803708991817,0.000532803708991817,"RPS17/SLC25A5/FOXO3/ID2/EPAS1/HSPA1B/GLUL/VEGFA/ETS1/HSPA1A/PTBP3/STAT1/ZFP36/HIF1A",14
"GO:0045639","positive regulation of myeloid cell differentiation","13/545","97/18842",0.134020618556701,4.63342476118415,6.19183818500966,4.34941803258626e-06,0.000532803708991817,0.000532803708991817,"HSF1/FOXO3/ID2/TRIB1/HSPA1B/PPP3CA/GLUL/ETS1/HSPA1A/SCIN/STAT1/NEDD9/HIF1A",13
"GO:0031669","cellular response to nutrient levels","21/545","233/18842",0.0901287553648069,3.1159743276765,5.60902168089552,4.45949383931867e-06,0.000535139260718241,0.000535139260718241,"NUPR2/FOXO3/HSPA8/OGT/PRKAA2/GAS6/LAMP2/GABARAPL1/MAP1LC3A/SEC22B/UPP1/LRRK2/ATF3/CDKN1A/FAM107A/FOS/PDK4/FOLR1/KLF10/RNF152/GABARAP",21
"GO:1901654","response to ketone","19/545","197/18842",0.0964467005076142,3.33440134121921,5.68444050233049,4.74514012091749e-06,0.000553357821230489,0.000553357821230489,"ASS1/KLF9/FOXO3/CCND1/PIM3/DUSP1/BTG2/SPP1/GAS6/CYBA/JUND/ERRFI1/PCK1/GLB1/LRRK2/FOS/SCNN1A/FOXP1/FOSB",19
"GO:0001570","vasculogenesis","10/545","57/18842",0.175438596491228,6.06534685337196,6.60999756304397,4.7995321229175e-06,0.000553357821230489,0.000553357821230489,"DSP/RRAS/ITGB8/EGFL7/ENG/TGFBR2/RIN2/RAMP2/VEGFA/ITGAV",10
