"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,1.45493826393703,0.277,0.195,0,"PAX2"
0,1.10683714458343,0.276,0.197,0,"ARRDC3"
0,0.682556294503119,0.261,0.182,0,"SERPINA1"
0,0.759232723734856,0.69,0.613,0,"CYBA"
0,1.04131387674865,0.471,0.395,0,"MUC1"
0,0.7721819065137,0.438,0.365,0,"C4orf48"
0,0.990734364217605,0.378,0.305,0,"MGST1"
0,0.701123424514074,0.887,0.816,0,"S100A11"
0,0.847913605858286,0.395,0.324,0,"SCIN"
0,0.800004697662094,0.221,0.152,0,"TFPI"
0,1.2237241539585,0.288,0.219,0,"SLC35F5"
0,1.10273037911813,0.373,0.305,0,"MDM4"
0,1.16058413200933,0.298,0.231,0,"DCDC2"
0,0.526982775897581,0.513,0.447,0,"CDH16"
0,1.38450380744729,0.23,0.164,0,"HNF1B"
0,1.13927723424145,0.287,0.221,0,"ZDHHC2"
0,0.981044748658258,0.247,0.182,0,"OGA"
0,1.4229667672531,0.205,0.14,0,"MET"
0,1.07324812393529,0.333,0.269,0,"EPS8L2"
0,1.33065175222807,0.209,0.145,0,"KANSL1L"
0,0.999679206317214,0.354,0.291,0,"PLXNB2"
0,1.12219452680738,0.254,0.191,0,"TUSC3"
0,1.37779223753087,0.202,0.141,0,"PLOD2"
0,1.01849173342874,0.376,0.315,0,"PERP"
0,1.14184808666704,0.246,0.187,0,"CCDC198"
0,0.951240582837382,0.376,0.317,0,"FOLR1"
0,0.897589824285667,0.338,0.279,0,"TBL1XR1"
0,0.654716990920965,0.722,0.663,0,"CTSD"
0,0.903964813502229,0.274,0.216,0,"ADAM10"
0,0.910091013501404,0.255,0.197,0,"AOC1"
0,0.993641995428204,0.301,0.243,0,"PON2"
0,1.15194993124748,0.212,0.154,0,"TMEM54"
0,1.04068437103742,0.288,0.23,0,"FAT1"
0,1.02037117325832,0.264,0.207,0,"STAT1"
0,0.973539034589676,0.218,0.161,0,"MIA2"
0,0.821348971693174,0.281,0.226,0,"ABLIM1"
0,1.12563319508126,0.301,0.246,0,"LNPEP"
0,0.526076460769443,0.521,0.467,0,"CAPG"
0,0.767313396740307,0.472,0.418,0,"CTSC"
0,0.896878662764833,0.359,0.307,0,"AGRN"
0,0.869197963142934,0.279,0.23,0,"ADGRG1"
0,0.80397607292001,0.445,0.396,0,"COBLL1"
0,0.61859425217148,0.533,0.485,0,"ANXA4"
0,1.20089741950859,0.346,0.298,0,"C18orf32"
0,0.807317001959196,0.237,0.189,0,"CCNG2"
0,0.858089022316405,0.228,0.181,0,"ITGA2"
0,1.06067274094297,0.207,0.16,0,"ABCB1"
0,1.92709139366633,0.574,0.527,0,"RPL17"
0,0.834791093099027,0.271,0.225,0,"ARID1B"
0,0.9240180289848,0.35,0.306,0,"SPINT1"
0,1.08740098167747,0.338,0.295,0,"SLC3A1"
0,0.911271559490451,0.356,0.313,0,"SUMF2"
0,0.986595817608138,0.267,0.225,0,"CAPS"
0,1.03348010291211,0.201,0.159,0,"PKD2"
0,0.669061681558028,0.377,0.336,0,"MAL2"
0,0.664195445560939,0.204,0.163,0,"NPNT"
0,0.75326358968965,0.379,0.338,0,"SERINC2"
0,0.868654547388356,0.216,0.176,0,"PAQR7"
0,0.714869661643846,0.27,0.231,0,"DNAJC10"
0,0.935516215040823,0.324,0.286,0,"C1orf56"
0,0.68372819571803,0.382,0.344,0,"CXXC5"
0,0.761542070464584,0.312,0.274,0,"FGL2"
0,0.946334159885724,0.219,0.182,0,"OCLN"
0,0.913704147614937,0.226,0.189,0,"PRKACB"
0,1.1263097801475,0.226,0.189,0,"SLC39A6"
0,0.794513843757476,0.287,0.25,0,"PDIA4"
0,0.928168160384332,0.308,0.271,0,"SLC38A1"
0,0.59468467429018,0.765,0.729,0,"MIF"
0,0.776838359800637,0.272,0.236,0,"PLEKHA1"
0,0.735933988693524,0.459,0.424,0,"TMED2"
0,0.667202776886464,0.456,0.421,0,"TMEM238"
0,0.806640466186225,0.283,0.248,0,"STT3B"
0,0.99030501531828,0.231,0.197,0,"ST14"
0,0.809386917633342,0.51,0.477,0,"CTNNB1"
0,0.6315808454018,0.505,0.473,0,"GLS"
0,0.785459286540753,0.33,0.298,0,"MAN1A1"
0,0.956594295025808,0.303,0.271,0,"MECOM"
0,0.684701563215269,0.354,0.324,0,"RBM47"
0,0.539243195336502,0.427,0.399,0,"DMKN"
0,0.84264049680209,0.299,0.271,0,"DYNC2LI1"
0,0.827708422547205,0.416,0.389,0,"SERPING1"
0,0.73337778717017,0.551,0.527,0,"COL18A1"
0,0.520613794567263,0.734,0.756,0,"LAPTM4A"
0,0.719274430093494,0.53,0.51,0,"GRN"
0,0.553037495662715,0.413,0.393,0,"EIF2S3"
0,0.756297308997101,0.405,0.386,0,"LAPTM4B"
0,0.78043366401003,0.364,0.346,0,"PTBP3"
0,0.783027860701608,0.388,0.37,0,"SRSF6"
0,0.612252929067658,0.505,0.488,0,"CD151"
0,0.54789034153198,0.653,0.636,0,"N4BP2L2"
0,0.678085309287119,0.423,0.407,0,"STMN1"
0,0.621043698287854,0.544,0.558,0,"ASAH1"
0,0.637674788504702,0.419,0.407,0,"LAMP2"
0,0.519080306174457,0.514,0.526,0,"SYPL1"
0,0.626105297217387,0.413,0.401,0,"MYO6"
0,0.519778879955377,0.539,0.529,0,"EZR"
0,0.63212589102605,0.431,0.424,0,"TM9SF2"
0,0.574425175395469,0.616,0.61,0,"S100A13"
0,0.54732566733049,0.659,0.661,0,"APLP2"
0,0.57965827083713,0.525,0.526,0,"TRAM1"
2.2216274562734e-25,0.58026934343711,0.154,0.223,6.54202637048828e-21,"CLCNKA"
2.22044604925031e-16,0.650688225123901,0.255,0.213,6.5385474812274e-12,"UCHL1"
2.22044604925031e-16,0.548694368228281,0.31,0.27,6.5385474812274e-12,"RNF213"
2.22044604925031e-16,0.777596506118669,0.357,0.338,6.5385474812274e-12,"ERBB2"
4.44089209850063e-16,0.845647070221138,0.302,0.276,1.30770949624548e-11,"TMED5"
6.66133814775094e-16,0.913112566107535,0.274,0.244,1.96156424436822e-11,"UXS1"
8.88178419700125e-16,0.756511129145568,0.304,0.273,2.61541899249096e-11,"ZBTB44"
2.44249065417534e-15,0.64215161139866,0.428,0.427,7.19240222935014e-11,"RTN3"
3.10862446895044e-15,0.539414027141975,0.449,0.447,9.15396647371836e-11,"TMEM123"
5.77315972805081e-15,0.882213056960891,0.242,0.209,1.70002234511912e-10,"PLXNB1"
7.105427357601e-15,0.672083623493372,0.34,0.319,2.09233519399277e-10,"TMEM106B"
1.31006316905768e-14,0.748099174522163,0.27,0.239,3.85774301392416e-10,"TPD52L1"
1.86517468137026e-14,0.540193901942112,0.461,0.465,5.49237988423101e-10,"TMED4"
2.55351295663786e-14,0.89490576135792,0.202,0.169,7.51932960341151e-10,"NHLRC3"
3.50830475781549e-14,0.931491684639546,0.253,0.225,1.03309050203393e-09,"PTPN13"
3.68594044175552e-14,0.618235742204418,0.323,0.292,1.08539888188375e-09,"RSRP1"
6.21724893790088e-14,0.522694321057501,0.2,0.162,1.83079329474367e-09,"SMIM22"
7.14983627858601e-14,0.846221103823592,0.267,0.24,2.10541228895522e-09,"PTPRF"
7.66053886991358e-14,0.662528757093186,0.326,0.306,2.25579888102345e-09,"TSPAN6"
9.45910016980633e-14,0.645467672659002,0.362,0.345,2.78542122700287e-09,"RBBP4"
1.16573417585641e-13,1.01536541349679,0.287,0.262,3.43273742764438e-09,"ACSL4"
1.46327394645596e-13,0.746162829303526,0.328,0.311,4.30890279012885e-09,"AGPAT2"
1.50546242139171e-13,0.621606403525041,0.323,0.301,4.43313519227218e-09,"CD2AP"
1.58983937126322e-13,0.698320234820747,0.253,0.22,4.68159999655882e-09,"PAM"
1.72972747236599e-13,0.772224180159609,0.37,0.357,5.09352848787614e-09,"CDC42SE1"
2.36921593455008e-13,0.899627694320963,0.22,0.19,6.97663016246963e-09,"WWC1"
5.52002887843628e-13,0.675105856278349,0.291,0.262,1.62548290383313e-08,"PLLP"
8.00026711544888e-13,0.887273567888694,0.27,0.246,2.35583865748623e-08,"ZNF503"
8.05577826668014e-13,0.679957856064914,0.289,0.264,2.3721850261893e-08,"VAV3"
8.34887714518118e-13,0.71119986955085,0.33,0.312,2.4584938529415e-08,"SYNGR2"
9.16822173735454e-13,0.608588311372736,0.301,0.273,2.69976625499879e-08,"DDAH1"
1.71973546514437e-12,0.668190274883039,0.349,0.337,5.06410502421062e-08,"COX16"
2.81485945663462e-12,0.657202056999827,0.253,0.222,8.28891664195197e-08,"XPO1"
4.40669722934217e-12,0.779548857420206,0.203,0.172,1.29764013312439e-07,"SFT2D2"
5.48538992006797e-12,0.733657371197095,0.203,0.172,1.61528276976242e-07,"RCN1"
5.49427170426497e-12,0.679329715194055,0.219,0.188,1.61789818875491e-07,"KANSL1"
5.64925883850265e-12,0.600415784568732,0.412,0.417,1.66353725017387e-07,"LMBRD1"
5.6905591350187e-12,0.602497560417203,0.298,0.269,1.67569894848896e-07,"KCNJ1"
6.73328059974665e-12,0.556471636642592,0.335,0.314,1.9827491382074e-07,"VPS13C"
7.95030707934075e-12,0.738574180290836,0.239,0.211,2.34112692565347e-07,"BTBD7"
1.13995479722462e-11,0.533846329418248,0.463,0.447,3.35682489138733e-07,"CTSH"
2.16224815829946e-11,0.536473846760823,0.382,0.368,6.36717215174443e-07,"TAPBP"
2.71087596814823e-11,0.655759925803103,0.259,0.227,7.98271646340609e-07,"TMEM37"
3.16757731155803e-11,0.694132215538322,0.244,0.214,9.32756490934494e-07,"SLC40A1"
3.31179528245684e-11,0.508262392043661,0.334,0.315,9.75224356825066e-07,"SELENOF"
3.44082540237878e-11,0.673526541400779,0.239,0.211,1.01321985623848e-06,"TAX1BP3"
3.7144287645674e-11,0.664402051319618,0.288,0.266,1.09378783830216e-06,"TP53I3"
6.0513150046404e-11,0.563143813012559,0.298,0.274,1.78193072941646e-06,"PARD6B"
7.48134887373908e-11,0.655082461405594,0.331,0.316,2.20303280284995e-06,"CAPZA1"
7.67483854247075e-11,0.764739208137466,0.221,0.193,2.26000970560136e-06,"SLC39A10"
1.78017822705101e-10,0.750200629182989,0.221,0.196,5.24209082519711e-06,"C1GALT1C1"
1.82037052098849e-10,0.540047641880669,0.404,0.4,5.36044507315481e-06,"CHD9"
1.94135818532004e-10,0.637632297000551,0.253,0.228,5.71671744831193e-06,"TMX1"
2.30412799950841e-10,0.83943769873046,0.29,0.274,6.78496572015241e-06,"TRA2A"
2.32269981026434e-10,0.866208443226984,0.324,0.32,6.8396541312854e-06,"RPS17"
5.7911342388195e-10,0.844261708150412,0.209,0.186,1.70531529930518e-05,"GLB1"
6.23027407442578e-10,0.71919689469643,0.259,0.24,1.83462880669616e-05,"ATP2C1"
7.05677960510798e-10,0.537577419396651,0.285,0.258,2.07800989031615e-05,"CKLF"
9.39312849723706e-10,0.831739170345424,0.279,0.265,2.7659945485814e-05,"CDH1"
1.09634035183603e-09,0.794288394779453,0.213,0.189,3.22839343405157e-05,"STX16"
3.23115401101859e-09,0.72374599942123,0.306,0.296,9.51477921624644e-05,"DDR1"
4.46306724910528e-09,0.679853412448991,0.271,0.253,0.000131423941284403,"IRF2BPL"
4.74471550937494e-09,0.607069630850008,0.373,0.371,0.000139717637604564,"HIF1A"
6.79291911609425e-09,0.72295224720433,0.222,0.201,0.000200031089211627,"PAFAH1B3"
8.39898262050554e-09,0.700704689376519,0.26,0.243,0.000247324841226026,"WDR34"
1.23232939408524e-08,0.755728600130384,0.222,0.201,0.000362884036676281,"TIA1"
1.71337406484895e-08,0.843224864797751,0.236,0.22,0.00050453726087607,"PPP2R3A"
1.91823961159798e-08,0.808878991843966,0.21,0.191,0.000564864018427258,"F11R"
1.98885721225395e-08,0.968489560186603,0.214,0.195,0.00058565878329242,"PLCG2"
1.99372405251808e-08,0.560001276613354,0.411,0.417,0.000587091921744998,"WTAP"
2.21448699377902e-08,0.580504156082016,0.291,0.273,0.000652099985058108,"MGLL"
2.5101928313731e-08,0.536162759732367,0.348,0.348,0.000739176483054438,"PPIC"
2.83046561744271e-08,0.554973457484944,0.325,0.314,0.000833487210368355,"CMTM6"
2.85176091630035e-08,0.529452502910218,0.377,0.379,0.000839758037022964,"CD47"
4.28835638111025e-08,0.608148940152118,0.299,0.289,0.00126279230354553,"DSP"
4.9325988626947e-08,0.830722443586632,0.212,0.193,0.00145250238709771,"EPB41L1"
4.99316714641651e-08,0.687570537090039,0.226,0.204,0.00147033792960527,"LASP1"
5.1690728586351e-08,0.687303848984862,0.251,0.232,0.00152213688468228,"UGCG"
5.19756737649146e-08,0.726530063183065,0.221,0.201,0.00153052766535544,"SNX14"
5.35739668183766e-08,0.611900351251466,0.353,0.353,0.00157759260090073,"EMC10"
5.82704386964394e-08,0.512447678301981,0.423,0.432,0.00171588960829405,"PABPN1"
6.78448337509963e-08,0.558342590240018,0.319,0.308,0.00199782681946559,"FARP1"
8.21380556903506e-08,0.788066939244701,0.272,0.26,0.00241871932591375,"LAMB1"
1.12234016302892e-07,0.544373265044353,0.294,0.276,0.00330495507807127,"PAXX"
1.24507559817744e-07,0.578601852488384,0.321,0.314,0.0036663741139531,"CDC42SE2"
1.26874258654652e-07,0.709941162827524,0.266,0.252,0.00373606629460355,"OGT"
1.51527635106063e-07,0.503758027806761,0.257,0.235,0.00446203427096825,"MVP"
1.74712642797559e-07,0.544314708618056,0.358,0.358,0.00514476319245971,"JUP"
2.15275116177693e-07,0.595099958094218,0.238,0.217,0.00633920634608454,"RIN2"
2.46471117959501e-07,0.654751241872838,0.286,0.279,0.00725783501055344,"C5orf15"
2.57893312261004e-07,0.642953882510945,0.286,0.275,0.00759418436614978,"MGAT4B"
2.60435054633135e-07,0.73449307916497,0.235,0.219,0.00766903105378192,"TBC1D4"
3.44424390119613e-07,0.502956287706801,0.376,0.381,0.0101422650158522,"VPS35"
3.63396529534654e-07,0.561719706380086,0.337,0.332,0.010700937605207,"GNS"
3.67111750554372e-07,0.620596778471725,0.302,0.294,0.0108103397185746,"WLS"
3.72830255779277e-07,0.59558059015684,0.247,0.228,0.0109787325419324,"MXRA7"
5.93849468932817e-07,0.525292617656678,0.244,0.227,0.0174870853116647,"ADSS"
6.26588865459965e-07,0.572996887027733,0.273,0.262,0.0184511623211996,"CAPN1"
6.62787733585191e-07,0.558809801360897,0.253,0.238,0.0195171103908831,"SORT1"
7.17254590831828e-07,0.530917427414257,0.34,0.33,0.0211209959362249,"SCNN1A"
7.94248901758721e-07,0.758846711600316,0.27,0.263,0.023388247410089,"RAB3IP"
1.41347335658182e-06,0.635489099248983,0.271,0.261,0.0416225499312648,"ARSD"
