"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
7.40932501400389e-187,-1.24706244346695,0.092,0.237,2.18182393687373e-182,"SLC25A33"
9.03703718882919e-183,-1.21165116193035,0.294,0.489,2.66113634099453e-178,"TIMP3"
2.06460437588422e-181,-1.27301091158325,0.086,0.225,6.07964050566625e-177,"KANSL1-AS1"
1.14961981650597e-180,-1.35908641958616,0.248,0.434,3.38528547366514e-176,"SEC14L1"
3.3481101881179e-180,-1.83136647274013,0.157,0.313,9.85918007095077e-176,"ARG2"
2.21759662845694e-179,-1.63584337976031,0.151,0.309,6.53015679181716e-175,"EPAS1"
4.26574662183124e-177,-0.916936262586813,0.231,0.421,1.25613440773064e-172,"PIM3"
8.12827448558295e-174,-0.807945398436291,0.248,0.451,2.39353298776961e-169,"GAS6"
2.79665794401786e-173,-1.17148228707263,0.213,0.394,8.23531864774939e-169,"FOSB"
4.06844501801753e-173,-0.962457957017738,0.157,0.323,1.19803500445562e-168,"ETS2"
2.57923020730166e-169,-0.917943610220707,0.176,0.348,7.5950591914412e-165,"KLF10"
9.7320597573312e-162,-0.753773552543841,0.475,0.667,2.86579963674132e-157,"RHOB"
1.85971548778519e-161,-1.0179263560101,0.11,0.255,5.47630419688104e-157,"VPS37B"
3.82857256585488e-160,-1.27611935402326,0.107,0.244,1.12739976346729e-155,"TRIB1"
2.39088926894181e-159,-0.576527270500315,0.83,0.92,7.04045163025294e-155,"UBC"
4.06508538924458e-159,-1.25142612287915,0.229,0.405,1.19704569457085e-154,"DNAJB1"
4.66930603320849e-159,-1.35097161887274,0.172,0.329,1.3749705475989e-154,"HES4"
1.03777118239617e-156,-0.805664042663198,0.228,0.408,3.05592480080202e-152,"MIDN"
1.28061604716064e-156,-1.79873333879453,0.096,0.227,3.77103007407394e-152,"CYR61"
1.72351735504108e-153,-1.16173894670411,0.181,0.338,5.07524155538947e-149,"BHLHE40"
2.2589132329743e-153,-1.28596428897995,0.192,0.351,6.65182179713943e-149,"TACC1"
9.97394373836345e-153,-1.88952048141454,0.187,0.333,2.93702721263588e-148,"MGP"
3.94467183779319e-148,-1.49344986950144,0.106,0.238,1.16158751607496e-143,"UAP1"
4.58636318930438e-143,-1.55170563396861,0.224,0.38,1.35054636835446e-138,"IGFBP5"
1.48672474071501e-142,-0.577632202516972,0.458,0.658,4.37795834398348e-138,"FOS"
8.64301068757972e-142,-0.666914842408617,0.324,0.501,2.5451073571716e-137,"GABARAPL1"
8.83966226312099e-139,-0.602375685596043,0.191,0.362,2.60301534662124e-134,"C1orf123"
1.57945629943095e-134,-0.565524881574078,0.187,0.354,4.65102496493433e-130,"C6orf48"
6.4042963061641e-134,-1.29943434246058,0.181,0.327,1.88587313327614e-129,"RCAN1"
1.4513573347292e-133,-0.836298993020517,0.116,0.25,4.27381194357707e-129,"PQLC1"
3.10910033984801e-133,-0.622452835695692,0.365,0.549,9.15536777075044e-129,"SLC3A2"
7.60442736999324e-133,-1.08140263472031,0.116,0.246,2.23927572764191e-128,"SOCS2"
9.53291138510683e-133,-0.666033136081019,0.479,0.659,2.80715641557241e-128,"MT1X"
3.61327695601132e-131,-0.560590042753486,0.498,0.69,1.06400166523665e-126,"JUNB"
2.77263888512016e-127,-0.938377191889215,0.12,0.251,8.16458972501333e-123,"SLC7A8"
1.63484669449516e-126,-1.26059645655096,0.122,0.247,4.8141330612799e-122,"PVALB"
1.58579024535949e-124,-0.75949925792203,0.181,0.329,4.66967653551008e-120,"DUSP6"
2.97089946542252e-124,-1.107446486567,0.157,0.291,8.74840765582971e-120,"NEDD9"
1.67981459805049e-121,-0.605372155109523,0.636,0.753,4.94655004687928e-117,"SLC25A5"
7.12080138098652e-121,-0.727183070907184,0.538,0.658,2.0968623826591e-116,"CYCS"
2.11115882791458e-120,-0.629051053572947,0.326,0.494,6.21672940056006e-116,"MAP1LC3A"
2.38997216229451e-120,-0.712188735702239,0.151,0.291,7.03775102630864e-116,"TSPAN7"
7.99695952806878e-117,-0.675019552483605,0.134,0.266,2.35486467223041e-112,"MAP2K3"
4.5264245269729e-116,-0.507410595347657,0.178,0.331,1.33289623045771e-111,"SSSCA1"
1.07443524148909e-114,-0.744178890824568,0.242,0.395,3.16388945561291e-110,"FOSL2"
3.37784977109277e-113,-0.690788078566403,0.132,0.261,9.94675422093688e-109,"TOB2"
2.74477176654054e-112,-0.730417191788752,0.176,0.317,8.08252942093193e-108,"UBE2S"
5.42152586716728e-112,-0.720636817309238,0.178,0.32,1.59647672210475e-107,"SMIM37"
1.11353681932526e-111,-0.542895667802449,0.47,0.636,3.27903187186709e-107,"JUN"
2.07406395676541e-111,-0.815566815895628,0.531,0.673,6.1074961334871e-107,"MT1E"
1.25975720885977e-106,-0.687719782196422,0.298,0.453,3.70960705292937e-102,"BST2"
1.04711582396886e-105,-0.620248462468546,0.138,0.267,3.0834419668411e-101,"CDA"
2.41845806873931e-104,-0.801323080582297,0.205,0.335,7.12163347501664e-100,"IGFBP4"
3.32899146848401e-104,-0.629953493127737,0.094,0.203,9.80288117724487e-100,"PPP1R15B"
2.77575249097533e-103,-0.616906349840675,0.203,0.344,8.17375836017506e-99,"NDUFAF4"
1.14608742342877e-102,-0.622898692451757,0.134,0.251,3.3748836357707e-98,"A2M"
3.64345483164228e-102,-1.20268954189487,0.136,0.248,1.0728881442737e-97,"RHCG"
1.23227153268966e-101,-0.621880853130086,0.233,0.383,3.62866998231123e-97,"CCNL1"
6.84533612731353e-101,-1.17633904387672,0.189,0.32,2.01574612941002e-96,"LIFR"
3.96533585825802e-100,-0.75466511365118,0.098,0.205,1.16767245018124e-95,"IFRD1"
1.72209113223894e-97,-0.607062600142487,0.22,0.363,5.07104175710401e-93,"NUDT16"
